0383
CHA_407594_US1
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-11-28 12:15:00,27.21,8.408538,1.73
2023-11-28 12:20:00,26.21,7.029871,1.53
2023-11-28 12:25:00,27.52,7.365694,1.49
2023-11-28 12:30:00,28.27,12.55186,2.44
2023-11-28 12:35:00,28.47,14.34578,2.76
2023-11-28 12:40:00,29.32,14.82134,2.73
2023-11-28 12:45:00,29.46,16.24057,2.97
2023-11-28 12:50:00,29.54,16.1972,2.95
2023-11-28 12:55:00,29.42,17.13505,3.14
2023-11-28 13:00:00,23.81,11.74781,2.95
2023-11-28 13:05:00,29.3,15.78229,2.91
2023-11-28 13:10:00,29.9,16.27048,2.91
2023-11-28 13:15:00,26.27,13.55346,2.940015
2023-11-28 13:20:00,26.85,14.10159,2.96
2023-11-28 13:25:00,23.81,11.78763,2.96
2023-11-28 13:30:00,29.71,16.61432,3
2023-11-28 13:35:00,23.81,11.42922,2.87
2023-11-28 13:40:00,23.81,11.62834,2.92
2023-11-28 13:45:00,31.18,17.07399,2.87
2023-11-28 13:50:00,30.71,16.87136,2.9
2023-11-28 13:55:00,30.39,16.78374,2.93
2023-11-28 14:00:00,27.77,14.68032,2.93
2023-11-28 14:05:00,23.81,11.46904,2.88
2023-11-28 14:10:00,30.36,16.24437,2.84
2023-11-28 14:15:00,30.62,15.06062,2.6
2023-11-28 14:20:00,31.19,15.7726,2.65
2023-11-28 14:25:00,31.43,18.71918,3.11
2023-11-28 14:30:00,31.37,17.28649,2.88
2023-11-28 14:35:00,23.81,11.26993,2.83
2023-11-28 14:40:00,23.81,4.420361,1.11
2023-11-28 14:45:00,23.81,4.778769,1.2
2023-11-28 14:50:00,23.81,4.898238,1.23
2023-11-28 14:55:00,23.81,4.659299,1.17
2023-11-28 15:00:00,23.85,4.631316,1.16
2023-11-28 15:05:00,23.81,4.778769,1.2
2023-11-28 15:10:00,30.36,6.12024,1.07
2023-11-28 15:15:00,23.81,4.141599,1.04
2023-11-28 15:20:00,23.81,4.141599,1.04
2023-11-28 15:25:00,23.81,4.380538,1.1
2023-11-28 15:30:00,23.81,4.380538,1.1
2023-11-28 15:35:00,23.81,3.982307,1
2023-11-28 15:40:00,28.15,5.265439,1.03
2023-11-28 15:45:00,23.81,4.221245,1.06
2023-11-28 15:50:00,25.38,4.777368,1.09
2023-11-28 15:55:00,25.21,4.773481,1.1
2023-11-28 16:00:00,25.19,3.857638,0.89
2023-11-28 16:05:00,30.05,5.013523,0.89
