0383
CHA_STM005
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-08-01 10:30:00,29.7,2.141285,0.288
2023-08-01 10:35:00,34.14,5.104016,0.558
2023-08-01 10:40:00,30.16,2.122811,0.279
2023-08-01 10:45:00,30.1,2.184767,0.288
2023-08-01 10:50:00,29.57,2.592469,0.351
2023-08-01 10:55:00,28.98,2.320896,0.324
2023-08-01 11:00:00,29.11,2.206973,0.306
2023-08-01 11:05:00,29.02,2.067367,0.288
2023-08-01 11:10:00,28.68,1.966958,0.279
2023-08-01 11:15:00,28.48,1.945897,0.279
2023-08-01 11:20:00,28.15,1.849495,0.27
2023-08-01 11:25:00,28,1.835208,0.27
2023-08-01 11:30:00,27.73,1.809849,0.27
2023-08-01 11:35:00,27.59,1.73681,0.261
2023-08-01 11:40:00,27.41,1.779794,0.27
2023-08-01 11:45:00,27.12,1.752557,0.27
2023-08-01 11:50:00,27.21,1.70231,0.261
2023-08-01 11:55:00,26.96,1.563777,0.243
2023-08-01 12:00:00,26.88,1.557014,0.243
2023-08-01 12:05:00,26.72,1.486323,0.234
2023-08-01 12:10:00,27.66,1.622947,0.243
2023-08-01 12:15:00,28.29,1.677387,0.243
2023-08-01 12:20:00,28.61,1.643524,0.234
2023-08-01 12:25:00,28.78,1.594749,0.225
2023-08-01 12:30:00,30.38,1.730628,0.225
2023-08-01 12:35:00,31.02,1.784979,0.225
2023-08-01 12:40:00,31.3,2.02581,0.252
2023-08-01 12:45:00,30.16,5.204311,0.6840001
2023-08-01 12:50:00,29.82,5.251179,0.702
2023-08-01 12:55:00,29.31,2.230072,0.306
2023-08-01 13:00:00,28.88,1.85976,0.261
2023-08-01 13:05:00,28.31,1.741414,0.252
2023-08-01 13:10:00,28.08,1.658449,0.243
2023-08-01 13:15:00,27.65,1.682179,0.252
2023-08-01 13:20:00,27.49,1.489423,0.225
2023-08-01 13:25:00,27.26,1.353708,0.207
2023-08-01 13:30:00,26.91,1.386267,0.216
2023-08-01 13:35:00,26.88,1.44168,0.225
2023-08-01 13:40:00,26.65,1.423678,0.225
2023-08-01 13:45:00,26.67,1.539263,0.243
2023-08-01 13:50:00,26.34,1.455392,0.234
2023-08-01 13:55:00,28.18,1.729049,0.252
2023-08-01 14:00:00,27.92,2.010463,0.297
2023-08-01 14:05:00,27.55,1.673414,0.252
2023-08-01 14:10:00,27.22,1.585754,0.243
2023-08-01 14:15:00,26.78,1.548561,0.243
2023-08-01 14:20:00,26.45,1.520667,0.243
2023-08-01 14:25:00,26.06,1.487701,0.243
2023-08-01 14:30:00,25.85,1.415507,0.234
2023-08-01 14:35:00,25.94,1.368108,0.225
2023-08-01 14:40:00,25.91,1.36576,0.225
2023-08-01 14:45:00,25.81,1.412251,0.234
