0383
DTN_SAN008
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-09-27 12:40:00,134.95,34.32906,0.78
2023-09-27 12:45:00,134.49,35.91671,0.8199999
2023-09-27 12:50:00,134.94,35.6457,0.81
2023-09-27 12:55:00,131.84,34.49801,0.81
2023-09-27 13:00:00,128.52,32.86788,0.8
2023-09-27 13:05:00,170.7,43.95184,0.72
2023-09-27 13:10:00,123.91,28.48203,0.73
2023-09-27 13:15:00,126.62,30.97645,0.77
2023-09-27 13:20:00,127.43,31.25677,0.77
2023-09-27 13:25:00,126.46,30.92118,0.77
2023-09-27 13:30:00,142.25,35.54272,0.75
2023-09-27 13:35:00,132.26,32.514,0.76
2023-09-27 13:40:00,128.78,30.9016,0.75
2023-09-27 13:45:00,129.72,31.63681,0.76
2023-09-27 13:50:00,129.91,31.70229,0.76
2023-09-27 13:55:00,128.96,31.78815,0.77
2023-09-27 14:00:00,128,31.86324,0.78
2023-09-27 14:05:00,126.53,30.94536,0.77
2023-09-27 14:10:00,126.39,31.29827,0.78
2023-09-27 14:15:00,126.82,31.44872,0.78
2023-09-27 14:20:00,125.32,30.92388,0.78
2023-09-27 14:25:00,125.57,31.40894,0.79
2023-09-27 14:30:00,126.34,31.28077,0.78
2023-09-27 14:35:00,126,31.1618,0.78
2023-09-27 14:40:00,125.68,31.04984,0.78
2023-09-27 14:45:00,125.67,30.64831,0.77
2023-09-27 14:50:00,127.88,30.59714,0.75
2023-09-27 14:55:00,127.87,31.00167,0.76
2023-09-27 15:00:00,127.2,30.77199,0.76
2023-09-27 15:05:00,127.22,31.18383,0.77
2023-09-27 15:10:00,126.73,31.01445,0.77
2023-09-27 15:15:00,139.18,32.63321,0.71
2023-09-27 15:20:00,135.58,31.89656,0.72
2023-09-27 15:25:00,134.54,34.62078,0.79
2023-09-27 15:30:00,129.07,32.23969,0.78
2023-09-27 15:35:00,127.2,31.98668,0.79
2023-09-27 15:40:00,127.8,30.97767,0.76
2023-09-27 15:45:00,125.68,30.25369,0.76
2023-09-27 15:50:00,124.97,30.40677,0.77
2023-09-27 15:55:00,125.91,29.933,0.75
2023-09-27 16:00:00,124.94,30.79123,0.78
2023-09-27 16:05:00,126.38,31.69599,0.79
2023-09-27 16:10:00,126.57,30.55711,0.76
2023-09-27 16:15:00,130.32,32.26258,0.77
2023-09-27 16:20:00,135.39,34.48637,0.78
2023-09-27 16:25:00,137.53,35.25514,0.78
2023-09-27 16:30:00,137.24,35.15077,0.78
2023-09-27 16:35:00,138.76,36.15669,0.79
2023-09-27 16:40:00,141.79,37.26864,0.79
2023-09-27 16:45:00,142.2,37.41989,0.79
2023-09-27 16:50:00,141.55,37.65074,0.8
2023-09-27 16:55:00,142.36,39.37658,0.83
2023-09-27 17:00:00,143.07,39.65176,0.83
2023-09-27 17:05:00,140.67,38.2565,0.8199999
2023-09-27 17:10:00,135.44,35.83141,0.81
2023-09-27 17:15:00,135.29,35.77558,0.81
2023-09-27 17:20:00,141.52,37.63953,0.8
2023-09-27 17:25:00,133.3,34.60453,0.8
2023-09-27 17:30:00,134.6,34.6425,0.79
2023-09-27 17:35:00,132.09,35.01735,0.8199999
2023-09-27 17:40:00,129.73,33.30553,0.8
2023-09-27 17:45:00,185.56,52.00724,0.76
