0383
DTS_415490_US1
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-11-01 09:10:00,218.36,97.30272,0.9100001
2023-11-01 09:15:00,219.17,102.104,0.95
2023-11-01 09:20:00,216.93,94.29704,0.89
2023-11-01 09:25:00,212.95,98.09035,0.95
2023-11-01 09:30:00,212.1,95.49107,0.93
2023-11-01 09:35:00,212.08,99.5851,0.97
2023-11-01 09:40:00,210.68,95.61644,0.94
2023-11-01 09:45:00,210.69,96.64003,0.95
2023-11-01 09:50:00,211.55,98.21458,0.96
2023-11-01 09:55:00,210.7,98.68108,0.97
2023-11-01 10:00:00,209.69,99.0323,0.98
2023-11-01 10:05:00,210.2,90.24297,0.89
2023-11-01 10:10:00,210.49,90.41666,0.89
2023-11-01 10:15:00,210.29,92.32602,0.9100001
2023-11-01 10:20:00,208.64,95.3294,0.95
2023-11-01 10:25:00,208.37,90.14854,0.8999999
2023-11-01 10:30:00,208.57,94.28166,0.94
2023-11-01 10:35:00,208.18,92.0342,0.92
2023-11-01 10:40:00,208.29,83.09229,0.83
2023-11-01 10:45:00,208.09,90.97871,0.9100001
2023-11-01 10:50:00,209.27,94.72446,0.94
2023-11-01 10:55:00,208.79,94.42081,0.94
2023-11-01 11:00:00,211.1,96.9026,0.95
2023-11-01 11:05:00,210.58,96.56969,0.95
2023-11-01 11:10:00,209.82,95.07241,0.94
2023-11-01 11:15:00,208.03,91.94132,0.92
2023-11-01 11:20:00,208.44,90.19093,0.8999999
2023-11-01 11:25:00,205.22,89.2285,0.9100001
2023-11-01 11:30:00,203.57,88.22649,0.9100001
2023-11-01 11:35:00,202.77,86.77665,0.8999999
2023-11-01 11:40:00,206.72,87.17138,0.88
2023-11-01 11:45:00,206.34,89.91142,0.9100001
2023-11-01 11:50:00,206.73,93.12117,0.94
2023-11-01 11:55:00,207.05,96.30112,0.97
2023-11-01 12:00:00,205.38,94.23407,0.96
2023-11-01 12:05:00,208.22,94.06024,0.94
2023-11-01 12:10:00,205.6,92.40942,0.94
2023-11-01 12:15:00,205.19,88.22985,0.8999999
2023-11-01 12:20:00,206.12,88.7907,0.8999999
2023-11-01 12:25:00,214.27,94.77308,0.9100001
2023-11-01 12:30:00,210.92,95.76826,0.94
2023-11-01 12:35:00,210.81,95.69868,0.94
2023-11-01 12:40:00,209.81,93.0434,0.92
2023-11-01 12:45:00,210.03,88.1155,0.87
2023-11-01 12:50:00,208.25,89.07501,0.89
2023-11-01 12:55:00,206.33,88.91734,0.8999999
2023-11-01 13:00:00,208.79,91.40739,0.9100001
2023-11-01 13:05:00,208.04,89.94865,0.8999999
2023-11-01 13:10:00,206.28,86.91193,0.88
2023-11-01 13:15:00,206.07,91.71925,0.93
2023-11-01 13:20:00,206.5,92.9763,0.94
2023-11-01 13:25:00,207.8,88.80602,0.89
2023-11-01 13:30:00,208.52,91.24205,0.9100001
2023-11-01 13:35:00,203.96,85.54686,0.88
2023-11-01 13:40:00,203.8,85.45294,0.88
2023-11-01 13:45:00,204.43,88.74854,0.9100001
2023-11-01 13:50:00,203.23,88.98733,0.92
2023-11-01 13:55:00,200.32,87.20655,0.92
2023-11-01 14:00:00,198.61,86.16362,0.92
2023-11-01 14:05:00,199.45,80.08019,0.85
2023-11-01 14:10:00,202.8,89.68782,0.93
2023-11-01 14:15:00,200.93,87.57919,0.92
2023-11-01 14:20:00,200.82,86.56079,0.9100001
