0383
HAS_COM012
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-08-23 10:20:00,150.7257,8.975748,0.3169434
2023-08-23 10:25:00,147.1698,8.57345,0.327338
2023-08-23 10:35:00,147.1148,8.952289,0.3422315
2023-08-23 10:40:00,146.5338,8.897016,0.344688
2023-08-23 10:45:00,145.9336,8.831405,0.3469284
2023-08-23 10:50:00,145.1063,9.326411,0.3735659
2023-08-23 10:55:00,144.8276,9.142376,0.3686323
2023-08-23 11:00:00,144.6507,9.057124,0.3667443
2023-08-23 11:05:00,145.1078,9.020599,0.3613042
2023-08-23 11:10:00,145.2276,8.982293,0.3587497
2023-08-23 11:15:00,145.7617,9.311535,0.3672587
2023-08-23 11:20:00,146.3011,9.106835,0.3547142
2023-08-23 11:25:00,146.314,9.249755,0.3601743
2023-08-23 11:30:00,145.9353,9.326515,0.3663636
2023-08-23 11:35:00,146.0597,9.263331,0.3628308
2023-08-23 11:40:00,146.412,9.248857,0.3593265
2023-08-23 11:45:00,146.306,9.306948,0.3624681
2023-08-23 11:50:00,146.383,9.302185,0.3616399
2023-08-23 11:55:00,145.8741,8.977524,0.3531571
2023-08-23 12:00:00,146.1099,9.249116,0.361853
2023-08-23 12:05:00,146.51,9.415274,0.3649675
2023-08-23 12:10:00,146.9008,9.716959,0.3732863
2023-08-23 12:15:00,146.79,9.642879,0.3713841
2023-08-23 12:20:00,146.4711,9.580049,0.3716888
2023-08-23 12:25:00,146.4795,9.351014,0.3627324
2023-08-23 12:30:00,146.5963,9.032039,0.349414
2023-08-23 12:35:00,146.718,9.124583,0.3520055
2023-08-23 12:40:00,147.1235,9.268318,0.3542423
2023-08-23 12:45:00,147.3055,9.341619,0.3555679
2023-08-23 12:50:00,147.5359,9.393605,0.355685
2023-08-23 12:55:00,147.2556,9.236687,0.3519725
2023-08-23 13:00:00,146.8343,9.121309,0.3509396
2023-08-23 13:05:00,146.5803,8.819985,0.3413366
2023-08-23 13:10:00,146.7387,8.642399,0.3332447
2023-08-23 13:15:00,146.5692,8.774483,0.3396631
2023-08-23 13:20:00,146.6229,8.994,0.3477294
2023-08-23 13:25:00,146.6214,9.208062,0.3560179
2023-08-23 13:30:00,146.5483,9.411997,0.3645177
2023-08-23 13:35:00,146.4277,9.203345,0.3574297
