0383
BLC_1543093_US1
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-11-01 13:35:00,34.15,9.868201,1.54
2023-11-01 13:40:00,32.92,9.585477,1.58
2023-11-01 13:45:00,29.94,8.592788,1.63
2023-11-01 13:50:00,29.93,8.588573,1.63
2023-11-01 13:55:00,30.1,8.713359,1.64
2023-11-01 14:00:00,30.13,8.726081,1.64
2023-11-01 14:05:00,30.24,8.665747,1.62
2023-11-01 14:10:00,30.41,8.736963,1.62
2023-11-01 14:15:00,30.47,8.653943,1.6
2023-11-01 14:20:00,29.75,8.303802,1.59
2023-11-01 14:25:00,29.76,8.307915,1.59
2023-11-01 14:30:00,29.78,8.316137,1.59
2023-11-01 14:35:00,29.99,8.40248,1.59
2023-11-01 14:40:00,23.81,5.963618,1.59
2023-11-01 14:45:00,30.5,8.612649,1.59
2023-11-01 14:50:00,30.43,8.583391,1.59
2023-11-01 14:55:00,30.33,8.542275,1.59
2023-11-01 15:00:00,27.81,7.700147,1.63
2023-11-01 15:05:00,28.42,7.854531,1.61
2023-11-01 15:10:00,28.83,7.97538,1.6
2023-11-01 15:15:00,29.14,8.204937,1.62
2023-11-01 15:20:00,33.95,10.73564,1.69
2023-11-01 15:25:00,32.91,9.944934,1.64
2023-11-01 15:30:00,32.29,9.081092,1.54
2023-11-01 15:35:00,31.82,8.886978,1.54
2023-11-01 15:40:00,31.26,8.768107,1.56
2023-11-01 15:45:00,31.12,8.877028,1.59
2023-11-01 15:50:00,30.87,8.770423,1.59
2023-11-01 15:55:00,30.71,8.756927,1.6
2023-11-01 16:00:00,30.59,8.759844,1.61
2023-11-01 16:05:00,30.57,8.696854,1.6
2023-11-01 16:10:00,31.72,9.247754,1.61
2023-11-01 16:15:00,31.62,9.204577,1.61
2023-11-01 16:20:00,28.72,8.028992,1.62
2023-11-01 16:25:00,28.45,8.013611,1.64
2023-11-01 16:30:00,27.05,7.437609,1.64
2023-11-01 16:35:00,27.87,7.724454,1.63
2023-11-01 16:40:00,28.45,7.867021,1.61
2023-11-01 16:45:00,29.21,8.183433,1.61
2023-11-01 16:50:00,29.51,8.101913,1.57
2023-11-01 16:55:00,29.72,8.23932,1.58
2023-11-01 17:00:00,31.63,9.952471,1.74
2023-11-01 17:05:00,31.11,9.207584,1.65
2023-11-01 17:10:00,31.07,9.24558,1.66
2023-11-01 17:15:00,23.81,6.151152,1.64
2023-11-01 17:20:00,23.81,6.151152,1.64
2023-11-01 17:25:00,29.99,8.508171,1.61
2023-11-01 17:30:00,30.07,8.541478,1.61
2023-11-01 17:35:00,30.04,8.476015,1.6
2023-11-01 17:40:00,29.98,8.398369,1.59
2023-11-01 17:45:00,29.99,8.719555,1.65
2023-11-01 17:50:00,30,8.723823,1.65
2023-11-01 17:55:00,29.95,8.755231,1.66
2023-11-01 18:00:00,29.98,8.768109,1.66
2023-11-01 18:05:00,30,8.829565,1.67
2023-11-01 18:10:00,34.05,10.4635,1.64
2023-11-01 18:15:00,32.84,9.913092,1.64
2023-11-01 18:20:00,32.16,9.554976,1.63
2023-11-01 18:25:00,31.57,9.354099,1.64
2023-11-01 18:30:00,31.23,9.260685,1.65
2023-11-01 18:35:00,34.88,10.97327,1.66
2023-11-01 18:40:00,33.35,10.2688,1.66
2023-11-01 18:45:00,32.59,9.922267,1.66
2023-11-01 18:50:00,32.02,9.610266,1.65
2023-11-01 18:55:00,31.58,9.472626,1.66
2023-11-01 19:00:00,31.19,9.242985,1.65
2023-11-01 19:05:00,28.54,8.100876,1.65
2023-11-01 19:10:00,28.89,8.350214,1.67
2023-11-01 19:15:00,29.17,8.369681,1.65
2023-11-01 19:20:00,29.36,8.399533,1.64
2023-11-01 19:25:00,29.72,8.500057,1.63
2023-11-01 19:30:00,29.83,8.493991,1.62
2023-11-01 19:35:00,29.85,8.449885,1.61
2023-11-01 19:40:00,29.97,8.499846,1.61
2023-11-01 19:45:00,30,8.565207,1.62
2023-11-01 19:50:00,30.12,8.72184,1.64
2023-11-01 19:55:00,30.13,8.779289,1.65
2023-11-01 20:00:00,30.13,8.779289,1.65
2023-11-01 20:05:00,30.11,8.611288,1.62
2023-11-01 20:10:00,30.08,8.651799,1.63
2023-11-01 20:15:00,30.14,8.623855,1.62
2023-11-01 20:20:00,30.14,8.570621,1.61
2023-11-01 20:25:00,30.16,8.525663,1.6
2023-11-01 20:30:00,30.15,8.628044,1.62
2023-11-01 20:35:00,30.22,8.871131,1.66
2023-11-01 20:40:00,30.14,8.677088,1.63
2023-11-01 20:45:00,30.07,8.594531,1.62
2023-11-01 20:50:00,30.07,8.753689,1.65
2023-11-01 20:55:00,33.92,10.65813,1.68
2023-11-01 21:00:00,35.79,11.67627,1.7
2023-11-01 21:05:00,33.94,11.11193,1.75
2023-11-01 21:10:00,39.96,14.46959,1.79
2023-11-01 21:15:00,35.92,12.63725,1.83
2023-11-01 21:20:00,34.07,11.87746,1.86
2023-11-01 21:25:00,32.92,11.58751,1.91
2023-11-01 21:30:00,32.16,11.60666,1.98
2023-11-01 21:35:00,31.35,11.34588,2.01
2023-11-01 21:40:00,30.96,11.80047,2.13
2023-11-01 21:45:00,30.63,12.59325,2.31
2023-11-01 21:50:00,30.46,13.0828,2.42
2023-11-01 21:55:00,30.3,13.94833,2.6
2023-11-01 22:00:00,30.21,14.68904,2.75
2023-11-01 22:05:00,30.14,14.21339,2.67
2023-11-01 22:10:00,30.11,13.66112,2.57
2023-11-01 22:15:00,30.1,14.34517,2.7
2023-11-01 22:20:00,30.07,14.11201,2.66
2023-11-01 22:25:00,30.04,13.72055,2.59
2023-11-01 22:30:00,30.01,13.38307,2.53
2023-11-01 22:35:00,29.87,13.13387,2.5
2023-11-01 22:40:00,29.86,12.86486,2.45
2023-11-01 22:45:00,42.22,20.0792,2.29
2023-11-01 22:50:00,44.23,20.85184,2.22
2023-11-01 22:55:00,44.48,20.07724,2.12
2023-11-01 23:00:00,44.61,19.8788,2.09
2023-11-01 23:05:00,37.35,15.06857,2.06
2023-11-01 23:10:00,34.75,13.14869,2
2023-11-01 23:15:00,39.49,15.88827,2
2023-11-01 23:20:00,35.71,13.691,2
2023-11-01 23:25:00,39.66,15.98845,2
2023-11-01 23:30:00,41.64,17.18463,2
2023-11-01 23:35:00,42.07,17.09616,1.96
2023-11-01 23:40:00,42.56,16.5941,1.87
2023-11-01 23:45:00,42.46,16.53599,1.87
2023-11-01 23:50:00,42.16,16.1871,1.85
2023-11-01 23:55:00,36.63,13.00908,1.83
2023-11-02 00:00:00,40.36,15.42484,1.88
2023-11-02 00:05:00,36.03,14.22101,2.05
2023-11-02 00:10:00,42.34,19.46014,2.21
2023-11-02 00:15:00,36.67,17.30217,2.43
2023-11-02 00:20:00,34.37,17.85428,2.76
2023-11-02 00:25:00,33.14,17.0965,2.79
2023-11-02 00:30:00,32.4,16.53442,2.79
2023-11-02 00:35:00,31.86,15.89911,2.75
2023-11-02 00:40:00,31.49,15.79669,2.78
2023-11-02 00:45:00,31.08,15.71391,2.82
2023-11-02 00:50:00,30.91,16.85649,3.05
2023-11-02 00:55:00,30.43,16.46499,3.05
2023-11-02 01:00:00,30.35,17.47743,3.25
2023-11-02 01:05:00,30.29,17.37339,3.24
2023-11-02 01:10:00,30.28,17.31141,3.23
2023-11-02 01:15:00,30.25,17.17932,3.21
2023-11-02 01:20:00,30.21,17.78709,3.33
2023-11-02 01:25:00,30.2,17.99204,3.37
2023-11-02 01:30:00,30.19,17.50305,3.28
2023-11-02 01:35:00,30.23,16.25379,3.04
2023-11-02 01:40:00,30.25,16.05544,3
2023-11-02 01:45:00,30.28,16.02512,2.99
2023-11-02 01:50:00,47.12,29.38967,2.85
2023-11-02 01:55:00,37.79,20.39442,2.74
2023-11-02 02:00:00,35.07,18.32354,2.75
2023-11-02 02:05:00,33.6,17.64014,2.82
2023-11-02 02:10:00,32.68,17.22403,2.87
2023-11-02 02:15:00,32.09,16.76991,2.87
2023-11-02 02:20:00,31.66,16.49623,2.88
2023-11-02 02:25:00,31.36,17.28105,3.06
2023-11-02 02:30:00,31.12,17.53074,3.14
2023-11-02 02:35:00,30.94,17.5452,3.17
2023-11-02 02:40:00,30.78,17.40917,3.17
2023-11-02 02:45:00,30.68,16.12185,2.95
2023-11-02 02:50:00,30.61,16.28432,2.99
2023-11-02 02:55:00,30.54,15.63117,2.88
2023-11-02 03:00:00,30.5,15.81694,2.92
2023-11-02 03:05:00,30.48,16.07185,2.97
2023-11-02 03:10:00,30.46,15.67774,2.9
2023-11-02 03:15:00,30.42,15.7017,2.91
2023-11-02 03:20:00,30.38,15.0792,2.8
2023-11-02 03:25:00,30.35,14.14328,2.63
2023-11-02 03:30:00,48.96,28.58795,2.62
2023-11-02 03:35:00,49.73,26.90973,2.41
2023-11-02 03:40:00,38.3,17.54097,2.31
2023-11-02 03:45:00,41.94,20.0581,2.31
2023-11-02 03:50:00,43,20.27375,2.25
2023-11-02 03:55:00,43.59,20.50233,2.23
2023-11-02 04:00:00,37.06,15.04224,2.08
2023-11-02 04:05:00,39.76,16.04738,2
2023-11-02 04:10:00,40.06,16.06543,1.98
2023-11-02 04:15:00,35.87,13.43802,1.95
2023-11-02 04:20:00,37.53,14.29122,1.94
2023-11-02 04:25:00,38.16,14.42478,1.91
2023-11-02 04:30:00,35.02,12.63355,1.9
2023-11-02 04:35:00,33.48,12.07084,1.94
2023-11-02 04:40:00,32.55,14.37937,2.41
2023-11-02 04:45:00,31.96,15.85669,2.73
2023-11-02 04:50:00,31.56,15.50682,2.72
2023-11-02 04:55:00,31.26,15.34419,2.73
2023-11-02 05:00:00,31.01,15.05008,2.71
2023-11-02 05:05:00,30.86,14.88593,2.7
2023-11-02 05:10:00,46.91,27.24844,2.66
2023-11-02 05:15:00,37.8,19.58342,2.63
2023-11-02 05:20:00,35.01,17.48019,2.63
2023-11-02 05:25:00,33.59,16.31927,2.61
2023-11-02 05:30:00,32.69,15.85079,2.64
2023-11-02 05:35:00,32.06,15.17134,2.6
2023-11-02 05:40:00,31.65,14.9427,2.61
2023-11-02 05:45:00,31.36,15.02209,2.66
2023-11-02 05:50:00,31.14,15.98282,2.86
2023-11-02 05:55:00,30.96,16.12177,2.91
2023-11-02 06:00:00,30.8,16.87645,3.07
2023-11-02 06:05:00,30.69,16.73121,3.06
2023-11-02 06:10:00,30.59,16.54033,3.04
2023-11-02 06:15:00,30.54,15.95682,2.94
2023-11-02 06:20:00,30.49,15.86325,2.93
2023-11-02 06:25:00,30.44,16.09482,2.98
2023-11-02 06:30:00,30.42,16.94273,3.14
2023-11-02 06:35:00,30.39,16.91837,3.14
2023-11-02 06:40:00,30.36,16.94781,3.15
2023-11-02 06:45:00,30.33,16.9771,3.16
2023-11-02 06:50:00,30.3,16.04058,2.99
2023-11-02 06:55:00,30.29,15.97923,2.98
2023-11-02 07:00:00,30.3,15.23587,2.84
2023-11-02 07:05:00,30.3,15.23587,2.84
2023-11-02 07:10:00,30.32,14.55247,2.71
2023-11-02 07:15:00,30.25,15.03859,2.81
2023-11-02 07:20:00,30.25,14.28934,2.67
2023-11-02 07:25:00,30.26,14.77814,2.76
2023-11-02 07:30:00,30.28,14.79241,2.76
2023-11-02 07:35:00,30.28,15.11399,2.82
2023-11-02 07:40:00,30.29,15.6575,2.92
2023-11-02 07:45:00,30.23,15.61219,2.92
2023-11-02 07:50:00,30.24,15.51276,2.9
2023-11-02 07:55:00,30.25,16.10896,3.01
2023-11-02 08:00:00,30.22,15.87184,2.97
2023-11-02 08:05:00,30.19,14.67482,2.75
2023-11-02 08:10:00,30.2,14.57515,2.73
2023-11-02 08:15:00,30.15,14.80615,2.78
2023-11-02 08:20:00,30.11,14.72424,2.77
2023-11-02 08:25:00,30.06,14.95356,2.82
2023-11-02 08:30:00,30.07,14.11201,2.66
2023-11-02 08:35:00,44.04,23.89424,2.56
2023-11-02 08:40:00,37.12,17.54263,2.42
2023-11-02 08:45:00,40.78,18.83006,2.26
2023-11-02 08:50:00,36.17,15.07063,2.16
2023-11-02 08:55:00,41.07,18.01817,2.14
2023-11-02 09:00:00,42.11,17.55663,2.01
2023-11-02 09:05:00,42.81,18.08208,2.02
2023-11-02 09:10:00,36.91,14.52162,2.02
2023-11-02 09:15:00,39.33,15.55707,1.97
2023-11-02 09:20:00,40.66,16.17632,1.95
2023-11-02 09:25:00,40.57,15.95781,1.93
