0383
CCR_COM018
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-09-01 23:50:00,56.04,15.17846,1.33
2023-09-01 23:55:00,58.09,16.71626,1.39
2023-09-02 00:00:00,64.83,20.59912,1.46
2023-09-02 00:05:00,65.11,19.59234,1.38
2023-09-02 00:10:00,65.65,19.5421,1.36
2023-09-02 00:15:00,65.89,19.06815,1.32
2023-09-02 00:20:00,65.85,19.62865,1.36
2023-09-02 00:25:00,65.86,20.06606,1.39
2023-09-02 00:30:00,65.44,19.88028,1.39
2023-09-02 00:35:00,64.94,18.95242,1.34
2023-09-02 00:40:00,64.62,18.67706,1.33
2023-09-02 00:45:00,63.24001,17.82753,1.31
2023-09-02 00:50:00,62.51,16.59336,1.24
2023-09-02 00:55:00,61.68999,16.14583,1.23
2023-09-02 01:00:00,61.55,15.83061,1.21
2023-09-02 01:05:00,61.82,16.19557,1.23
2023-09-02 01:10:00,61.98,16.78545,1.27
2023-09-02 01:15:00,62.27,17.03308,1.28
2023-09-02 01:20:00,62.57,17.15252,1.28
2023-09-02 01:25:00,62.55,16.60879,1.24
2023-09-02 01:30:00,61.77,15.12431,1.15
2023-09-02 01:35:00,62.15,15.26024,1.15
2023-09-02 01:40:00,61.71,15.49684,1.18
2023-09-02 01:45:00,61.77,15.65037,1.19
2023-09-02 01:50:00,60.39,15.01733,1.18
2023-09-02 01:55:00,59.81,14.807,1.18
2023-09-02 02:00:00,59.87,14.57743,1.16
2023-09-02 02:05:00,59.46,14.43261,1.16
2023-09-02 02:10:00,57.44,13.72397,1.16
2023-09-02 02:15:00,57.37,13.58154,1.15
2023-09-02 02:20:00,56.94,13.43338,1.15
2023-09-02 02:25:00,55.93,12.97303,1.14
2023-09-02 02:30:00,55.54,12.72895,1.13
2023-09-02 02:35:00,55.46,12.70222,1.13
2023-09-02 02:40:00,55.41,12.46099,1.11
2023-09-02 02:45:00,55.28,12.97772,1.16
2023-09-02 02:50:00,55.96,13.55258,1.19
2023-09-02 02:55:00,56.08,13.82328,1.21
2023-09-02 03:00:00,56.36,13.57875,1.18
2023-09-02 03:05:00,55.97,13.32826,1.17
2023-09-02 03:10:00,55.79,13.266,1.17
2023-09-02 03:15:00,55.46,12.92704,1.15
2023-09-02 03:20:00,54.95,12.75365,1.15
2023-09-02 03:25:00,54.9,12.6259,1.14
2023-09-02 03:30:00,53.74,11.91638,1.11
2023-09-02 03:35:00,53.59,11.97475,1.12
2023-09-02 03:40:00,53.58,11.8646,1.11
2023-09-02 03:45:00,53.19,11.63263,1.1
2023-09-02 03:50:00,53.2,11.95318,1.13
2023-09-02 03:55:00,53.2,12.16474,1.15
2023-09-02 04:00:00,53.21,11.95647,1.13
2023-09-02 04:05:00,53.14,11.93341,1.13
2023-09-02 04:10:00,53.21,13.332,1.26
2023-09-02 04:15:00,54.04,13.20399,1.22
2023-09-02 04:20:00,55.13,13.59488,1.22
2023-09-02 04:25:00,54.85,12.94086,1.17
2023-09-02 04:30:00,54.93,12.96853,1.17
2023-09-02 04:35:00,54.85,12.94086,1.17
2023-09-02 04:40:00,54.54,12.72394,1.16
