0383
DTN_STM009
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2022-10-13 03:20:00,239.54,,0.38
2022-10-13 03:25:00,239.23,,0.38
2022-10-13 03:30:00,238.16,,0.37
2022-10-13 03:35:00,236.65,,0.37
2022-10-13 03:40:00,235.43,,0.33
2022-10-13 03:45:00,234.76,,0.33
2022-10-13 03:50:00,234.47,,0.34
2022-10-13 03:55:00,234.08,,0.81
2022-10-13 04:00:00,233.92,,1.62
2022-10-13 04:05:00,233.63,,1.27
2022-10-13 04:10:00,232.86,,1.34
2022-10-13 04:15:00,232.14,,1.9
2022-10-13 04:20:00,231,,2.24
2022-10-13 04:25:00,230.02,,2.19
2022-10-13 04:30:00,229.05,,2.03
2022-10-13 04:35:00,228.66,,1.62
2022-10-13 04:40:00,228.77,,0.37
2022-10-13 04:45:00,228.88,,0.36
2022-10-13 04:50:00,228.39,,0.36
2022-10-13 04:55:00,228.21,,0.36
2022-10-13 05:00:00,227.94,,0.35
2022-10-13 05:05:00,227.02,,0.35
2022-10-13 05:10:00,226.81,,0.35
2022-10-13 05:15:00,226.52,,0.34
2022-10-13 05:20:00,226.83,,0.35
2022-10-13 05:25:00,226.8,,0.36
2022-10-13 05:30:00,226.69,,0.34
2022-10-13 05:35:00,227.11,,0.34
2022-10-13 05:40:00,227.36,,0.34
2022-10-13 05:45:00,227.31,,0.35
2022-10-13 05:50:00,227.39,,0.35
2022-10-13 05:55:00,227.48,,0.35
2022-10-13 06:00:00,227.37,,0.34
2022-10-13 06:05:00,227.32,,0
2022-10-13 06:10:00,227.79,,0.34
2022-10-13 06:15:00,229.2,,0.33
2022-10-13 06:20:00,230.3,,0.34
2022-10-13 06:25:00,230.8,,0.37
2022-10-13 06:30:00,231.47,,0.36
2022-10-13 06:35:00,231.52,,0.36
2022-10-13 06:40:00,231.78,,0.36
2022-10-13 06:45:00,232.46,,0.35
2022-10-13 06:50:00,233.81,,0.35
2022-10-13 06:55:00,235.15,,0
2022-10-13 07:00:00,236.31,,0.37
2022-10-13 07:05:00,238.12,,0
2022-10-13 07:10:00,240.5,,0.37
2022-10-13 07:15:00,242.48,,0.39
2022-10-13 07:20:00,245.51,,0.4
2022-10-13 07:25:00,249.59,,0.43
2022-10-13 07:30:00,257.87,,0.46
2023-09-01 21:55:00,40.55761,3.49804,0.295913
2023-09-01 22:00:00,41.51612,3.75691,0.307106
2023-09-01 22:05:00,41.55565,4.309821,0.3518145
2023-09-01 22:10:00,41.2402,4.110882,0.3393317
2023-09-01 22:15:00,40.08707,3.659566,0.3149674
2023-09-01 22:20:00,39.97755,3.002939,0.2595052
2023-09-01 22:25:00,39.53689,3.343523,0.2937467
2023-09-01 22:30:00,39.06674,3.575424,0.3197996
2023-09-01 22:35:00,38.62901,3.112211,0.2831341
2023-09-01 22:40:00,38.96432,3.47796,0.3123121
2023-09-01 22:45:00,41.2964,3.947485,0.3251955
2023-09-01 22:50:00,42.17856,3.229329,0.2579732
2023-09-01 22:55:00,43.6596,3.764627,0.285422
2023-09-01 23:00:00,43.74984,4.306193,0.3254717
2023-09-01 23:05:00,44.05264,4.50635,0.3371004
2023-09-01 23:10:00,42.58542,3.877502,0.3052568
2023-09-01 23:15:00,39.89889,3.2397,0.280786
2023-09-01 23:20:00,37.89482,2.637191,0.2470124
2023-09-01 23:25:00,37.8984,2.164283,0.2026883
2023-09-01 23:30:00,41.98086,5.090594,0.4094395
2023-09-01 23:35:00,42.36538,4.43705,0.3520738
2023-09-01 23:40:00,42.19258,4.271181,0.3410336
2023-09-01 23:45:00,42.9787,4.608494,0.3577796
2023-09-01 23:50:00,41.83192,3.666163,0.2963982
2023-09-01 23:55:00,40.24423,1.794154,0.1535244
2023-09-02 00:00:00,37.47387,2.76687,0.263611
2023-09-02 00:05:00,36.80151,3.286193,0.3214207
2023-09-02 00:10:00,35.37469,3.083697,0.3196667
2023-09-02 00:15:00,37.05037,2.894764,0.2803737
2023-09-02 00:20:00,38.29662,3.169331,0.2921285
2023-09-02 00:25:00,39.7724,3.282039,0.2858026
2023-09-02 00:30:00,39.47359,2.880729,0.2536943
2023-09-02 00:35:00,42.85854,3.747579,0.2921789
2023-09-02 00:40:00,43.73428,4.764956,0.3603383
2023-09-02 00:45:00,43.02062,2.680195,0.2077697
2023-09-02 00:50:00,41.45624,2.377167,0.1947296
2023-09-02 00:55:00,40.40604,3.071879,0.2613029
2023-09-02 01:00:00,42.05486,5.217181,0.4185501
2023-09-02 01:05:00,43.41544,5.712536,0.4367738
2023-09-02 01:10:00,42.91228,5.00218,0.3892537
2023-09-02 01:15:00,42.81106,4.568673,0.3567944
2023-09-02 01:20:00,42.19028,4.496974,0.3590919
2023-09-02 01:25:00,40.61449,4.162811,0.3514217
2023-09-02 01:30:00,39.50844,3.544045,0.3116986
2023-09-02 01:35:00,40.69678,3.512432,0.2956341
2023-09-02 01:40:00,40.57539,3.48816,0.2948866
2023-09-02 01:45:00,40.8539,3.934154,0.3292575
2023-09-02 01:50:00,42.2979,4.609078,0.3666146
2023-09-02 01:55:00,42.31269,4.568013,0.3631544
2023-09-02 02:00:00,40.97327,4.073675,0.3394763
2023-09-02 02:05:00,40.8213,4.009153,0.3359284
2023-09-02 02:10:00,39.02107,3.576437,0.3204531
2023-09-02 02:15:00,37.92149,3.168302,0.2964405
2023-09-02 02:20:00,37.18287,2.897067,0.2791472
2023-09-02 02:25:00,36.9964,3.21277,0.3118338
2023-09-02 02:30:00,38.79628,3.998173,0.3613704
2023-09-02 02:35:00,39.38125,4.23994,0.3747046
2023-09-02 02:40:00,39.23868,4.071434,0.3617727
2023-09-02 02:45:00,40.54175,4.401322,0.3725402
2023-09-02 02:50:00,40.43693,4.105772,0.3488546
2023-09-02 02:55:00,39.49559,3.454229,0.303947
2023-09-02 03:00:00,38.67395,3.954585,0.3591379
2023-09-02 03:05:00,36.36435,2.054863,0.2045237
2023-09-02 03:10:00,35.99534,3.76145,0.380031
2023-09-02 03:15:00,39.74659,4.437428,0.3867886
2023-09-02 03:20:00,40.95592,4.365577,0.3640279
2023-09-02 03:25:00,41.36154,4.693609,0.3857715
2023-09-02 03:30:00,40.46517,4.660167,0.3955518
2023-09-02 03:35:00,38.30045,3.535461,0.3258265
2023-09-02 03:40:00,36.68929,3.242547,0.3185666
2023-09-02 03:45:00,35.76103,2.904111,0.2962493
2023-09-02 03:50:00,35.43819,2.669774,0.2760228
2023-09-02 03:55:00,35.60661,2.900173,0.2977455
2023-09-02 04:00:00,36.49663,3.237232,0.3204992
2023-09-02 04:05:00,39.40572,4.661899,0.4116126
2023-09-02 04:10:00,40.90706,4.44465,0.3712719
2023-09-02 04:15:00,42.79278,5.014955,0.391901
2023-09-02 04:20:00,43.40951,5.046344,0.385917
2023-09-02 04:25:00,42.71022,4.346183,0.3406357
2023-09-02 04:30:00,40.65754,3.531135,0.297631
2023-09-02 04:35:00,38.91729,3.210412,0.2888114
2023-09-02 04:40:00,38.39061,3.295514,0.302632
2023-09-02 04:45:00,37.36959,2.416159,0.2311266
2023-09-02 04:50:00,37.85172,2.846469,0.2670779
2023-09-02 04:55:00,38.50382,3.339529,0.3053094
2023-09-02 05:00:00,38.67107,3.936965,0.3575779
2023-09-02 05:05:00,39.52504,4.366973,0.3838342
2023-09-02 05:10:00,38.827,3.709407,0.3348708
2023-09-02 05:15:00,37.43984,3.239835,0.3090779
2023-09-02 05:20:00,37.21387,3.234822,0.3113152
2023-09-02 05:25:00,37.49907,3.033074,0.288693
2023-09-02 05:30:00,37.67142,3.007927,0.284295
2023-09-02 05:35:00,41.11609,3.786377,0.3139282
2023-09-02 05:40:00,41.97535,4.101642,0.3299605
2023-09-02 05:45:00,42.3545,3.870894,0.3072705
2023-09-02 05:50:00,42.31934,3.708668,0.2947663
2023-09-02 05:55:00,41.63895,3.7912,0.3085769
2023-09-02 06:00:00,39.98627,2.961617,0.2558513
2023-09-02 06:05:00,38.83411,2.505446,0.2261195
2023-09-02 06:10:00,38.25216,2.528543,0.2334761
2023-09-02 06:15:00,37.76821,2.84952,0.268268
2023-09-02 06:20:00,38.14783,3.296503,0.3056526
2023-09-02 06:25:00,39.41748,3.417745,0.301628
2023-09-02 06:30:00,39.56074,3.63783,0.3193156
2023-09-02 06:35:00,39.34651,3.588171,0.3175237
2023-09-02 06:40:00,39.22146,3.259932,0.2898562
2023-09-02 06:45:00,39.41346,3.297497,0.29106
2023-09-02 06:50:00,39.55128,3.546407,0.3114019
2023-09-02 06:55:00,39.49731,3.324942,0.2925517
2023-09-02 07:00:00,38.97486,3.046245,0.273434
2023-09-02 07:05:00,40.16947,4.216488,0.3617968
2023-09-02 07:10:00,42.50232,4.894423,0.3864609
2023-09-02 07:15:00,44.26915,4.376506,0.3249996
2023-09-02 07:20:00,46.37521,4.479598,0.3106188
2023-09-02 07:25:00,47.54571,5.193985,0.3470187
2023-09-02 07:30:00,47.52483,5.185717,0.3466963
2023-09-02 07:35:00,46.21382,4.582628,0.3193843
2023-09-02 07:40:00,43.87653,4.076872,0.3068066
2023-09-02 07:45:00,44.03719,4.296139,0.3215439
2023-09-02 07:50:00,45.1768,5.033622,0.3627074
2023-09-02 07:55:00,44.74426,4.995744,0.3651405
2023-09-02 08:00:00,43.30002,4.066494,0.312169
2023-09-02 08:05:00,42.36109,3.998128,0.3172951
2023-09-02 08:10:00,42.25549,4.058526,0.3233173
2023-09-02 08:15:00,41.72897,3.344651,0.2713761
2023-09-02 08:20:00,41.1152,3.080548,0.255416
2023-09-02 08:25:00,41.04335,4.036335,0.3355222
