0383
HAS_COM011
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-08-23 11:30:00,94.17421,17.33275,0.4513053
2023-08-23 11:35:00,87.21915,15.39606,0.448772
2023-08-23 11:40:00,85.60715,14.08594,0.440301
2023-08-23 11:45:00,85.15717,14.44329,0.4551198
2023-08-23 11:50:00,84.20097,14.43614,0.4628429
2023-08-23 11:55:00,83.92456,14.79462,0.4767444
2023-08-23 12:00:00,83.68331,14.98215,0.484936
2023-08-23 12:05:00,84.09766,14.53979,0.467048
2023-08-23 12:10:00,84.73085,14.98066,0.4756951
2023-08-23 12:15:00,85.07947,14.73107,0.4648369
2023-08-23 12:20:00,85.35976,14.57277,0.4575351
2023-08-23 12:25:00,85.60345,14.85635,0.4644132
2023-08-23 12:30:00,85.51247,14.23448,0.4456961
2023-08-23 12:35:00,85.67281,14.24164,0.4446479
2023-08-23 12:40:00,84.99014,14.28236,0.451403
2023-08-23 12:45:00,85.27509,14.48797,0.4555629
2023-08-23 12:50:00,85.38634,14.80409,0.4645769
2023-08-23 12:55:00,85.00513,15.43206,0.4876083
2023-08-23 13:00:00,84.5504,15.12735,0.4819268
2023-08-23 13:05:00,83.62218,14.19894,0.4601042
2023-08-23 13:10:00,83.22567,13.3955,0.4372717
2023-08-23 13:15:00,83.5874,13.58857,0.4406088
2023-08-23 13:20:00,84.16254,14.08791,0.4519956
2023-08-23 13:25:00,83.91367,14.24773,0.4592131
2023-08-23 13:30:00,83.12349,13.51496,0.4420115
2023-08-23 13:35:00,82.72399,13.21013,0.4352834
2023-08-23 13:40:00,82.80853,13.50337,0.4442408
2023-08-23 13:45:00,82.11609,13.41086,0.447001
2023-08-23 13:50:00,79.34855,12.21185,0.4291018
2023-08-23 13:55:00,78.07173,11.67775,0.4208526
2023-08-23 14:00:00,76.94102,11.06333,0.4077722
2023-08-23 14:05:00,76.31483,11.31455,0.4223317
2023-08-23 14:10:00,76.47603,11.64357,0.4331955
2023-08-23 14:15:00,76.78889,11.97957,0.4428933
2023-08-23 14:20:00,77.86161,12.76267,0.4618853
2023-08-23 14:25:00,79.60674,13.66402,0.4777141
2023-08-23 14:30:00,81.26686,13.76689,0.4662363
2023-08-23 14:35:00,81.91487,14.07507,0.4709165
2023-08-23 14:40:00,82.23163,14.03267,0.4667021
2023-08-23 14:45:00,81.55244,13.96961,0.4705666
2023-08-23 14:50:00,82.20289,14.04336,0.4673123
2023-08-23 14:55:00,82.36913,13.89782,0.4610156
2023-08-23 15:00:00,80.8671,12.96293,0.4423451
2023-08-23 15:05:00,81.80932,13.64351,0.4573772
2023-08-23 15:10:00,82.12085,14.05761,0.4685156
2023-08-23 15:15:00,82.35968,13.7464,0.4560742
2023-08-23 15:20:00,82.77311,13.61293,0.4481427
2023-08-23 15:25:00,82.99806,14.01942,0.4595847
2023-08-23 15:30:00,82.77547,13.62323,0.4484618
2023-08-23 15:35:00,82.75529,13.85891,0.4563929
2023-08-23 15:40:00,82.40685,13.79948,0.4574275
2023-08-23 15:45:00,82.71841,14.44355,0.4759756
2023-08-23 15:50:00,82.97714,14.62159,0.4795125
2023-08-23 15:55:00,83.66525,13.64171,0.4416965
2023-08-23 16:00:00,84.36928,14.35492,0.4588277
2023-08-23 16:05:00,84.63831,15.10592,0.4804772
2023-08-23 16:10:00,90.7336,18.9814,0.5426825
2023-08-23 16:15:00,93.95721,21.85495,0.5923771
2023-08-23 16:20:00,95.69874,21.83992,0.5755655
2023-08-23 16:25:00,97.10035,21.87782,0.563934
2023-08-23 16:30:00,98.51762,23.49937,0.5925916
2023-08-23 16:35:00,99.77653,23.40885,0.5789544
2023-08-23 16:40:00,100.4055,22.80098,0.5585527
2023-08-23 16:45:00,99.74229,24.90711,0.6163322
2023-08-23 16:50:00,100.2617,23.18642,0.5692337
2023-08-23 16:55:00,100.3167,22.67296,0.5561641
2023-08-23 17:00:00,100.3126,23.56226,0.5780144
2023-08-23 17:05:00,99.78542,22.96473,0.5678931
2023-08-23 17:10:00,99.25052,21.8692,0.5452575
2023-08-23 17:15:00,98.40871,21.75994,0.5496559
2023-08-23 17:20:00,97.29015,21.69693,0.5576171
2023-08-23 17:25:00,95.67822,20.63616,0.5440204
2023-08-23 17:30:00,94.87298,20.27581,0.5414903
2023-08-23 17:35:00,94.12768,19.28355,0.5212476
2023-08-23 17:40:00,93.77233,18.88535,0.5134158
2023-08-23 17:45:00,92.80021,18.95498,0.5235353
2023-08-23 17:50:00,92.63633,18.34396,0.5080261
2023-08-23 17:55:00,92.46083,19.44658,0.5401235
2023-08-23 18:00:00,92.38444,20.0355,0.5571837
2023-08-23 18:05:00,92.28235,19.26998,0.5368007
2023-08-23 18:10:00,92.20273,18.99128,0.5297355
2023-08-23 18:15:00,92.43354,18.93772,0.5262272
2023-08-23 18:20:00,92.50875,18.52317,0.5140693
2023-08-23 18:25:00,93.13743,19.22859,0.5281676
2023-08-23 18:30:00,93.1442,19.20804,0.5275448
2023-08-23 18:35:00,93.21214,19.17732,0.5261174
2023-08-23 18:40:00,92.81419,18.97958,0.5240945
2023-08-23 18:45:00,93.18839,18.79917,0.5159429
2023-08-23 18:50:00,92.85234,18.29136,0.5047742
2023-08-23 18:55:00,93.48273,18.445,0.5038028
2023-08-23 19:00:00,93.23091,19.22093,0.5271524
2023-08-23 19:05:00,92.49916,19.23499,0.5339088
2023-08-23 19:10:00,92.22036,18.78493,0.5238266
2023-08-23 19:15:00,92.57115,18.76853,0.520343
2023-08-23 19:20:00,92.51629,18.81535,0.5221131
2023-08-23 19:25:00,93.06799,19.13503,0.5261945
2023-08-23 19:30:00,93.34177,19.79075,0.5418008
2023-08-23 19:35:00,93.3587,19.8476,0.5432076
2023-08-23 19:40:00,93.78677,19.07944,0.5185713
2023-08-23 19:45:00,94.58641,19.82882,0.5320218
2023-08-23 19:50:00,94.95947,20.45508,0.5455139
2023-08-23 19:55:00,94.82935,19.90193,0.531881
2023-08-23 20:00:00,94.74814,19.83162,0.5307003
2023-08-23 20:05:00,94.72506,20.28585,0.5430593
2023-08-23 20:10:00,94.19308,20.27397,0.5474437
2023-08-23 20:15:00,93.63494,19.01549,0.5181045
2023-08-23 20:20:00,93.55682,18.59377,0.507256
2023-08-23 20:25:00,93.512,19.46683,0.5314603
2023-08-23 20:30:00,93.84995,20.46935,0.5557812
2023-08-23 20:35:00,93.88493,20.46642,0.5553879
2023-08-23 20:40:00,93.46881,18.72454,0.5115539
2023-08-23 20:45:00,92.46918,17.89472,0.4969525
2023-08-23 20:50:00,92.4256,18.53655,0.5151474
2023-08-23 20:55:00,92.53465,18.64888,0.517337
2023-08-23 21:00:00,92.8841,19.12538,0.527515
2023-08-23 21:05:00,92.51911,19.15845,0.5316091
2023-08-23 21:10:00,92.62698,19.13621,0.5300488
2023-08-23 21:15:00,92.6683,19.53183,0.540639
2023-08-23 21:20:00,92.06465,19.12613,0.5347214
2023-08-23 21:25:00,91.8878,19.16637,0.5374265
2023-08-23 21:30:00,91.58129,19.08579,0.5379158
2023-08-23 21:35:00,91.60056,18.62372,0.5247234
2023-08-23 21:40:00,91.64038,17.99532,0.50668
2023-08-23 21:45:00,91.49339,18.45422,0.5208827
2023-08-23 21:50:00,91.31797,18.58772,0.5262
2023-08-23 21:55:00,91.12373,18.36969,0.5217336
2023-08-23 22:00:00,90.54893,17.78587,0.5101033
2023-08-23 22:05:00,90.04131,17.34553,0.5017841
2023-08-23 22:10:00,89.74266,17.95791,0.5221268
2023-08-23 22:15:00,88.88003,17.31629,0.5109359
2023-08-23 22:20:00,88.53794,16.83831,0.4997707
2023-08-23 22:25:00,88.42522,17.07297,0.5077249
2023-08-23 22:30:00,87.85062,16.37115,0.4917481
2023-08-23 22:35:00,87.88651,16.54258,0.4965854
2023-08-23 22:40:00,87.73534,17.00422,0.5117961
2023-08-23 22:45:00,87.69312,16.48092,0.4964132
2023-08-23 22:50:00,87.10181,15.91034,0.4842505
2023-08-23 22:55:00,86.45025,15.23697,0.469175
2023-08-23 23:00:00,84.78635,14.85095,0.4711028
2023-08-23 23:05:00,84.61235,14.42879,0.4591556
2023-08-23 23:10:00,84.8577,15.12816,0.4792784
2023-08-23 23:15:00,83.87477,14.51236,0.4680767
2023-08-23 23:20:00,83.15219,13.65229,0.4462643
2023-08-23 23:25:00,81.63191,13.50777,0.4543321
2023-08-23 23:30:00,80.09969,12.83166,0.4443476
2023-08-23 23:35:00,79.42603,12.4115,0.4354566
2023-08-23 23:40:00,78.48407,12.29514,0.4394647
2023-08-23 23:45:00,77.98901,12.26869,0.4428848
